tweets,target
ED and BD are a team that trembles to touch😮 but if this family is included then Kerala will be saved😊,0
Nothing will happen. Look. Two seats in the election or a good amount of electricity bond or both for BJP. It will be there. Neither the ED nor the central government can touch Pinarayi's hair. Those who are born with enough talent should see it. Porat drama is performed to throw dust in people's eyes. Nothing else. 😂😂😂,0
It is enough to see the accused's smile to understand that nothing is going to happen,0
"If this ED falls into your hands, then there is no escape, children😂😂😂",0
"PV-BJP bought monthly Now ED is targeting RC, KK, AR', VSS etc.",0
Kerala cage Sickles and moles are now in daily search...,0
Ed is playing with notices. Isaac is not responding to the notice because he knows very well that this game will continue till the election is over.,0
Let's see if laughing causes chest pain,0
This ED will pick him up and fly straight to Delhi. And this woodpecker will become a companion for the pangolin in Tihar Jail,0
Tirutha Thoma and Bond Thoma in the same party. Best poti chor party.,0
Most likely the scientist will be picked up by ED,0
"If present, the squirrel is inside",0
There are so many notices,0
Is it right that the world's greatest economist should be humiliated by an ED notice like this? No one in the world has even heard of the names of Saipin that he mentions. He should be given the Nobel Prize for collecting ropes to improve the economic situation. Ha what can be done beyond Modi.,0
"What did Isaac not produce? Why are you afraid? If an investigating agency summons someone legally, don't go. I am not calling to arrest. Don't challenge the legal system",0
"Malayalees generate a tax income of 1 lakh 175,000 crores per year to the Kerala government. Malayalees pay tax on everything from salt to camphor. Kerala government has more responsibility to provide jobs to Malayalees. Kerala is going to collapse due to mismanagement. When the public debt increases, there will be an increase in prices only in Kerala. When the public debt of Kerala increases, the price increase will increase. The first thing to come in Kerala is a huge price increase. When Vijayan came in 2016, the public debt was one and a half lakh crores in 7 years and an additional 4 lakh crores in 7 years 😏😏😏 Kerala will become the worst state in India in 15 years Kerala will become the most expensive state in India. It is already a complete consumer state 😏😏Keralites especially Semitic people (more than 50%) should ignore BJP.Kerala will become the worst state in India in 15 years 😂😄😄😏😏Then learn. In the rest of the BJP-ruled states, everything is a double-engine government and up to the development, the state government and the central government will contribute 😏😏Kerala will make all the projects implemented by the center in its name. Everything, including the life house scheme, including the ration shop, including distribution of midday meal, has the share of the Centre. But no one will say anything because the Antamkammis are gangsters. In Kerala, 60 lakh people have gone abroad as expatriates. Four or five people in the country live on the money that each one sends. 60 lakh good four two and a half crore people. Rest of the government officials.. 4 or 5 people live in the country depending on each and every one of them. There are no industrial establishments or employment opportunities in our Kerala. You can live in Kerala only by doing wage labor or in poverty. Being a Keralite is nothing to be proud of. The Malayalis themselves go to work in Bombay, Gujarat, Bangalore, Chennai and Delhi. There is nothing left in the hands of the Kerala government except to pay salaries and pensions to the Kerala state government employees. 😏 Ration shop, school children get porridge, job guarantee and life housing scheme are all because of the center. Look at the condition of panchayat roads it is the duty of kerala govt, everything is dilapidated 😏 in 15 years kerala will become the worst state in india. The Center will not look back because the people here did not defeat the BJP. Everything is progressing in other states. In the past, only men did not have the right to live in Kerala. In the coming times, we can live only if women also leave the country and become expatriates 😏😏😮😮😮😮",0
"1600 rupees welfare pension is never paid monthly it is paid in arrears for three to four months. It also has a central share. Kerala is running the Pradhan Mantri Ayushman Bharat Rs 5 lakh medical scheme. The central government is responsible for the employment guarantee scheme, getting a house under the life housing scheme and giving goods in the ration shop. Why is the central government even providing midday meals in schools? Central allocation is available for everything. 60% of the total revenue of the Kerala government goes towards the salary pension of the government employees. About 37 percent of the public debt will go towards paying its interest. The remaining three percent is the development of the scam. To tell the truth, the Kerala government does not have a surplus of 10000 crore rupees to spend in this state in a year 😏. No one knows that Kerala is a poor state. Now this is Bengal, this is the truth. Kerala's only hope is to raise its GDP by increasing production and setting up factories like in Tamil Nadu. Even if Yesudas, not Mohanlal, is kept as a BJP person, Christians and Muslims will not win the BJP because of religious animosity. In Kerala, it is the Christians and Muslims who are spreading the opposition to the BJP to the Hindus. The religious sentiments of the religious people are the only reason for the opposition to the BJP. Then there are also the communists. Unlike other states, Kerala has 50 percent religious people. So the central government will not show much interest in saving Kerala. Kerala is the state with the highest petrol prices in India. When compared to many states in India, there is a difference of up to 12 rupees per liter of petrol in Kerala. Kerala is passing because of expatriates who have been sentenced to 25 years of life imprisonment. If petrol runs out and the Gulf era ends, Kerala will become Somalia. Do you know the misery of expatriates? Still, those expatriates will write Kerala number one while lying there. The public debt should mostly pay interest. Yet among these, the biggest burden is increasing the salary and pension of government officials. About 60% of Kerala exchequer is used to pay salary and pension to government employees. At present, the annual expenditure is about 75,000 crore rupees. The total income is ₹1,75,000 crore. Then 39% has to be paid interest on the public debt. And the total three percent amount is less than 10000 crores which can be used for the development of Kerala😄😮😮😢😢😢😢😢",0
